Dataset,RMSE,MAE,R2
Train,0.0021270368919756167,0.0013765954592105639,0.9057244003991926
Validation,0.003951599804882106,0.002129861810486062,0.7295987308763799
Test,0.0016340098861045863,0.00127421325927948,0.7812898059593829
