Dataset,RMSE,MAE,R2
Train,0.0019172069269061552,0.0010247826963260829,0.9145669528873605
Validation,0.0016065246972062925,0.0012647735188022376,0.9112118853267598
Test,0.002325442403267911,0.0014628602645772597,0.882455478476944
