Dataset,RMSE,MAE,R2
Train,0.00036950197234966324,0.00027194082105486063,0.9138502064505473
Validation,0.00018061313543818463,0.00014208557985293516,0.7417019669306723
Test,0.00014341684799184772,0.00011268376786122662,0.7243970168728622
