Dataset,RMSE,MAE,R2
Train,0.0023414447088956794,0.0014577008561286995,0.8858010506893285
Validation,0.00426512591191376,0.0022674350709476487,0.6855271084703038
Test,0.0017571142358688732,0.001363137762847841,0.7455867765557281
