Dataset,RMSE,MAE,R2
Train,0.0043915046997288635,0.002814147497335878,0.5528059880966534
Validation,0.003723997645833877,0.0026994142164460076,0.5372496448184154
Test,0.004704450892985717,0.003105975499888387,0.5173623984749276
