Metric,Model,Output Steps,Value,RMSE,MAE
Best R²,CNN+ResNet,5,0.872529,0.001248,0.000938
Best RMSE,CNN+ResNet,5,0.001248,0.001248,0.000938
Best MAE,CNN+ResNet,5,0.000938,0.001248,0.000938
