model,model_type,output_step,dataset,rmse,mae,r2
CNN,cnn,5,Test,0.0015146750041555,0.0011843064599015,0.8123574731376602
CNN+GRU,cnn_gru,5,Test,0.0013057417010974,0.0009959865896776,0.8604387479055327
CNN+ResNet,cnn_resnet,5,Test,0.0012475679734487,0.0009384972438471,0.8725290716374339
CNN+ResNet+GRU,cnn_resnet_gru,5,Test,0.0013937730073109,0.0010801334324771,0.8409890709275958
GRU,gru,5,Test,0.0014404293934841,0.0011072101949909,0.8302219216318074
