Dataset,RMSE,MAE,R2
Train,0.0015660487141028914,0.0009733452722032285,0.9488778734100946
Validation,0.003569911805482704,0.0017889526268195575,0.7788891537667973
Test,0.0013057417010974158,0.0009959865896776456,0.8604387479055327
