Metric,Model,Output Steps,Value,RMSE,MAE
Best R²,CNN+ResNet+GRU,5,0.855871,0.000104,0.000080
Best RMSE,CNN+ResNet+GRU,5,0.000104,0.000104,0.000080
Best MAE,CNN+ResNet+GRU,5,0.000080,0.000104,0.000080
