Dataset,RMSE,MAE,R2
Train,0.0018035476408406578,0.0010553727538876773,0.9320655243297628
Validation,0.004010507763861192,0.002085014395637683,0.7214874549102305
Test,0.0015629733997444034,0.0012082343240771944,0.7998645886275407
