Dataset,RMSE,MAE,R2
Train,0.0001766412183268799,0.00012746147169974815,0.9802670131799923
Validation,0.00012372992825082066,9.277305766618853e-05,0.8785573731471225
Test,0.00010369850120602201,7.962083481029083e-05,0.8558709054204752
