Dataset,RMSE,MAE,R2
Train,0.0003642495347470695,0.00025993794753862836,0.9164648506342143
Validation,0.00013308798216337273,9.999106797433226e-05,0.8594930166349805
Test,0.0001105174989159546,8.39254558097767e-05,0.8362848190185979
