Dataset,RMSE,MAE,R2
Train,0.0023805811934605506,0.0014174506608688072,0.8680764244291603
Validation,0.0021306562099727613,0.0016173505102156209,0.8417122073185022
Test,0.0028142095708480054,0.001853125203902684,0.8281274490029823
