model,model_type,output_step,dataset,rmse,mae,r2
CNN,cnn,5,Test,0.0001192182775373,9.26061633233308e-05,0.8095231411839929
CNN+GRU,cnn_gru,5,Test,0.0001088972253442,8.221139440151213e-05,0.8410512139330472
CNN+ResNet,cnn_resnet,5,Test,0.00010806252092,8.269352585585661e-05,0.8434799347413364
CNN+ResNet+GRU,cnn_resnet_gru,5,Test,0.000103698501206,7.962083481029083e-05,0.8558709054204752
GRU,gru,5,Test,0.0001105174989159,8.39254558097767e-05,0.8362848190185979
