Dataset,RMSE,MAE,R2
Train,0.003110414585745828,0.0018429271580591195,0.7756898566143178
Validation,0.002798852462283276,0.002047802111586734,0.7384025124962326
Test,0.0036961302933705533,0.0023706879180695087,0.7020802085355438
