Dataset,RMSE,MAE,R2
Train,0.0005070691478698612,0.0003629729714511013,0.8375739587757959
Validation,0.00018790042044767793,0.00014896523404099826,0.7209861027115014
Test,0.00014692427181617852,0.00011583129933963418,0.7105753738280279
