Dataset,RMSE,MAE,R2
Train,0.0022573423001817426,0.0014505895815237742,0.8938195444791711
Validation,0.0037347155087353043,0.002027234038124121,0.7584669638869495
Test,0.0016256181481017623,0.0012776973415527621,0.783517815254452
