Dataset,RMSE,MAE,R2
Train,0.0003593142133001026,0.0002603129823869195,0.9187125244658294
Validation,0.0001417277852539163,0.0001085767951518352,0.8406478630893217
Test,0.00011921827753735038,9.26061633233308e-05,0.8095231411839929
