Noise Factor,RMSE,MAE,R²
0.0,0.0001582173153711,0.0001252474783276,0.6651102184893734
0.05,0.0001321089401069,0.0001040300501379,0.7664821122085388
0.1,0.0001371706103193,0.0001086701510671,0.7482550974887356
0.2,0.0001499104761355,0.0001189797864819,0.6993263673587595
0.3,0.0001860055851436,0.0001499521617742,0.5372092929341087
0.4,0.0001600066525493,0.0001284375500166,0.6575113093591225
