Noise Factor,R² Drop,R² Drop (%),RMSE Increase,RMSE Increase (%),MAE Increase,MAE Increase (%)
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.10137189371916544,-15.241367656236825,-2.6108375264200005e-05,-16.501591626025633,-2.1217428189700016e-05,-16.940403489963487
0.1,-0.08314487899936229,-12.500917395045363,-2.1046705051799998e-05,-13.302403091870685,-1.6577327260500004e-05,-13.23565750133507
0.2,-0.034216148869386176,-5.144432895212368,-8.306839235599985e-06,-5.25027189098502,-6.267691845700005e-06,-5.0042459372364325
0.3,-0.022279641465335676,-3.3497668275099044,-5.3584627821999975e-06,-3.3867739252380056,-2.9338924071000067e-06,-2.3424762288834704
0.4,0.007598909130250853,1.1425037413362582,1.7893371781999988e-06,1.1309363794999896,3.19007168899998e-06,2.5470147036860573
