model,model_type,output_step,dataset,rmse,mae,r2
CNN,cnn,10,Test,0.0001461620848024,0.0001155376491403,0.7141862713736513
CNN+GRU,cnn_gru,10,Test,0.0001319292720111,0.0001033499282784,0.7671151852253372
CNN+ResNet,cnn_resnet,10,Test,0.0001408961445561,0.0001115549845943,0.7344322265015282
CNN+ResNet+GRU,cnn_resnet_gru,10,Test,0.0001300936520032,0.0001021795701361,0.7735506669280671
GRU,gru,10,Test,0.0001373493487525,0.0001081805768651,0.7475889165852364
