Metric,Model,Output Steps,Value,RMSE,MAE
Best R²,CNN+ResNet+GRU,10,0.773551,0.000130,0.000102
Best RMSE,CNN+ResNet+GRU,10,0.000130,0.000130,0.000102
Best MAE,CNN+ResNet+GRU,10,0.000102,0.000130,0.000102
