Dataset,RMSE,MAE,R2
Train,0.00029216302676778207,0.00021921159843518303,0.9460159324721508
Validation,0.00015906039473768247,0.00012355925206392263,0.7993237979597358
Test,0.000130093652003201,0.0001021795701361516,0.7735506669280671
