Dataset,RMSE,MAE,R2
Train,0.00025434583459179563,0.0001938415685585454,0.9592432676924026
Validation,0.00016692238245660484,0.0001287060979450473,0.7789963508186813
Test,0.00013717061031932008,0.00010867015106718711,0.7482550974887356
