Dataset,RMSE,MAE,R2
Train,0.002544895151100971,0.0015652760563605993,0.849831622667792
Validation,0.00231951988752407,0.0016704248834173633,0.8203819440915522
Test,0.0030290908124585144,0.0019685912319370876,0.7999085519790027
