Dataset,RMSE,MAE,R2
Train,0.0003657901738953075,0.0002713375375732649,0.9156924820020699
Validation,0.0001677869149505069,0.00012985919751180272,0.7767006242359608
Test,0.0001373493487525631,0.000108180576865176,0.7475889165852364
