Dataset,RMSE,MAE,R2
Train,0.0033966591105372966,0.001987258327960857,0.7325025992862242
Validation,0.0029867914868939136,0.0021120957954898724,0.7020491541908599
Test,0.003895213510532955,0.002481853403449697,0.6691223765838751
