Dataset,RMSE,MAE,R2
Train,0.00313482802984891,0.002210125058039689,0.7951543340356996
Validation,0.0038970392026314695,0.0025313058526727633,0.73649663733434
Test,0.0022881733721069257,0.0018269481235161553,0.5720179822652796
