Dataset,RMSE,MAE,R2
Train,0.0023370419740741514,0.0014112309118845126,0.8732274498582251
Validation,0.0021913523443809783,0.001636472054098663,0.8369240329758298
Test,0.0029094971598774178,0.0019116656394281453,0.8156982372226327
