Dataset,RMSE,MAE,R2
Train,0.002194448104959643,0.0012995994504898878,0.8994975802535567
Validation,0.004188345720484612,0.0022096066762432873,0.6967687523284193
Test,0.001743284962285403,0.0013629672812900467,0.7495679042173806
