Metric,Model,Output Steps,Value,RMSE,MAE
Best R²,CNN+ResNet+GRU,15,0.736753,0.000140,0.000110
Best RMSE,CNN+ResNet+GRU,15,0.000140,0.000140,0.000110
Best MAE,CNN+ResNet+GRU,15,0.000110,0.000140,0.000110
