model,model_type,output_step,dataset,rmse,mae,r2
CNN,cnn,15,Test,0.0001697065889722,0.0001347301228826,0.6145147394909242
CNN+GRU,cnn_gru,15,Test,0.0001553303862714,0.0001233683457567,0.6768144331653435
CNN+ResNet,cnn_resnet,15,Test,0.0001434168479918,0.0001126837678612,0.7243970168728622
CNN+ResNet+GRU,cnn_resnet_gru,15,Test,0.0001401565735727,0.0001103985231884,0.7367529749034439
GRU,gru,15,Test,0.0001439611402428,0.0001135677154832,0.7223663961303722
